"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","306,603,772","*****","306,603,772","(X)","4,747,424","*****","4,747,424","(X)","700,703","*****","700,703","(X)","6,337,373","*****","6,337,373","(X)","2,895,928","*****","2,895,928","(X)","36,969,200","*****","36,969,200","(X)","4,966,061","*****","4,966,061","(X)","3,558,172","*****","3,558,172","(X)","890,856","*****","890,856","(X)","593,955","*****","593,955","(X)","18,688,787","*****","18,688,787","(X)","9,600,612","*****","9,600,612","(X)","1,346,554","*****","1,346,554","(X)","1,549,987","*****","1,549,987","(X)","12,790,182","*****","12,790,182","(X)","6,454,254","*****","6,454,254","(X)","3,032,266","*****","3,032,266","(X)","2,830,985","*****","2,830,985","(X)","4,316,040","*****","4,316,040","(X)","4,484,596","*****","4,484,596","(X)","1,328,543","*****","1,328,543","(X)","5,736,545","*****","5,736,545","(X)","6,512,227","*****","6,512,227","(X)","9,920,621","*****","9,920,621","(X)","5,278,190","*****","5,278,190","(X)","2,956,700","*****","2,956,700","(X)","5,955,802","*****","5,955,802","(X)","982,854","*****","982,854","(X)","1,813,061","*****","1,813,061","(X)","2,673,396","*****","2,673,396","(X)","1,315,911","*****","1,315,911","(X)","8,753,064","*****","8,753,064","(X)","2,037,136","*****","2,037,136","(X)","19,302,448","*****","19,302,448","(X)","9,418,736","*****","9,418,736","(X)","666,783","*****","666,783","(X)","11,525,536","*****","11,525,536","(X)","3,714,520","*****","3,714,520","(X)","3,801,991","*****","3,801,991","(X)","12,660,739","*****","12,660,739","(X)","1,053,959","*****","1,053,959","(X)","4,575,864","*****","4,575,864","(X)","807,697","*****","807,697","(X)","6,297,991","*****","6,297,991","(X)","24,774,187","*****","24,774,187","(X)","2,715,379","*****","2,715,379","(X)","624,958","*****","624,958","(X)","7,926,192","*****","7,926,192","(X)","6,652,845","*****","6,652,845","(X)","1,846,372","*****","1,846,372","(X)","5,664,893","*****","5,664,893","(X)","554,697","*****","554,697","(X)","3,742,586","*****","3,742,586","(X)"
"    Male","150,740,216","±6,945","49.2%","±0.1","2,302,958","±951","48.5%","±0.1","363,548","±462","51.9%","±0.1","3,152,339","±575","49.7%","±0.1","1,421,287","±1,040","49.1%","±0.1","18,387,718","±866","49.7%","±0.1","2,489,370","±1,106","50.1%","±0.1","1,731,389","±389","48.7%","±0.1","432,225","±195","48.5%","±0.1","280,675","±206","47.3%","±0.1","9,138,819","±1,398","48.9%","±0.1","4,691,368","±1,940","48.9%","±0.1","674,569","±214","50.1%","±0.1","776,969","±669","50.1%","±0.1","6,272,579","±1,051","49.0%","±0.1","3,175,252","±926","49.2%","±0.1","1,498,400","±890","49.4%","±0.1","1,403,192","±710","49.6%","±0.1","2,120,101","±1,266","49.1%","±0.1","2,193,423","±757","48.9%","±0.1","650,339","±416","49.0%","±0.1","2,774,785","±607","48.4%","±0.1","3,150,111","±630","48.4%","±0.1","4,867,629","±864","49.1%","±0.1","2,620,590","±869","49.6%","±0.1","1,434,572","±1,025","48.5%","±0.1","2,915,275","±908","48.9%","±0.1","492,668","±629","50.1%","±0.1","898,314","±578","49.5%","±0.1","1,350,934","±479","50.5%","±0.1","649,547","±519","49.4%","±0.1","4,261,485","±504","48.7%","±0.1","1,005,646","±757","49.4%","±0.1","9,341,547","±972","48.4%","±0.1","4,588,579","±1,458","48.7%","±0.1","336,763","±489","50.5%","±0.1","5,624,513","±1,200","48.8%","±0.1","1,838,148","±867","49.5%","±0.1","1,882,081","±755","49.5%","±0.1","6,167,949","±933","48.7%","±0.1","508,799","±283","48.3%","±0.1","2,227,017","±805","48.7%","±0.1","404,695","±529","50.1%","±0.1","3,070,555","±1,329","48.8%","±0.1","12,291,119","±1,876","49.6%","±0.1","1,364,170","±608","50.2%","±0.1","308,125","±315","49.3%","±0.1","3,891,319","±1,401","49.1%","±0.1","3,314,698","±761","49.8%","±0.1","908,648","±793","49.2%","±0.1","2,810,744","±826","49.6%","±0.1","282,671","±459","51.0%","±0.1","1,793,553","*****","47.9%","*****"
"    Female","155,863,556","±6,948","50.8%","±0.1","2,444,466","±951","51.5%","±0.1","337,155","±462","48.1%","±0.1","3,185,034","±575","50.3%","±0.1","1,474,641","±1,040","50.9%","±0.1","18,581,482","±866","50.3%","±0.1","2,476,691","±1,106","49.9%","±0.1","1,826,783","±389","51.3%","±0.1","458,631","±195","51.5%","±0.1","313,280","±206","52.7%","±0.1","9,549,968","±1,398","51.1%","±0.1","4,909,244","±1,940","51.1%","±0.1","671,985","±214","49.9%","±0.1","773,018","±669","49.9%","±0.1","6,517,603","±1,051","51.0%","±0.1","3,279,002","±926","50.8%","±0.1","1,533,866","±890","50.6%","±0.1","1,427,793","±710","50.4%","±0.1","2,195,939","±1,266","50.9%","±0.1","2,291,173","±757","51.1%","±0.1","678,204","±416","51.0%","±0.1","2,961,760","±607","51.6%","±0.1","3,362,116","±630","51.6%","±0.1","5,052,992","±864","50.9%","±0.1","2,657,600","±869","50.4%","±0.1","1,522,128","±1,025","51.5%","±0.1","3,040,527","±908","51.1%","±0.1","490,186","±629","49.9%","±0.1","914,747","±577","50.5%","±0.1","1,322,462","±479","49.5%","±0.1","666,364","±519","50.6%","±0.1","4,491,579","±504","51.3%","±0.1","1,031,490","±757","50.6%","±0.1","9,960,901","±972","51.6%","±0.1","4,830,157","±1,458","51.3%","±0.1","330,020","±489","49.5%","±0.1","5,901,023","±1,200","51.2%","±0.1","1,876,372","±867","50.5%","±0.1","1,919,910","±756","50.5%","±0.1","6,492,790","±933","51.3%","±0.1","545,160","±283","51.7%","±0.1","2,348,847","±805","51.3%","±0.1","403,002","±528","49.9%","±0.1","3,227,436","±1,329","51.2%","±0.1","12,483,068","±1,876","50.4%","±0.1","1,351,209","±608","49.8%","±0.1","316,833","±315","50.7%","±0.1","4,034,873","±1,401","50.9%","±0.1","3,338,147","±761","50.2%","±0.1","937,724","±793","50.8%","±0.1","2,854,149","±826","50.4%","±0.1","272,026","±459","49.0%","±0.1","1,949,033","*****","52.1%","*****"
"    Under 5 years","20,170,377","±3,883","6.6%","±0.1","303,661","±594","6.4%","±0.1","52,380","±235","7.5%","±0.1","461,855","±260","7.3%","±0.1","196,325","±495","6.8%","±0.1","2,545,224","±624","6.9%","±0.1","342,006","±460","6.9%","±0.1","203,168","±155","5.7%","±0.1","55,999","±95","6.3%","±0.1","33,348","±104","5.6%","±0.1","1,079,187","±627","5.8%","±0.1","688,777","±847","7.2%","±0.1","87,406","±155","6.5%","±0.1","120,039","±288","7.7%","±0.1","839,616","±456","6.6%","±0.1","433,281","±653","6.7%","±0.1","198,900","±525","6.6%","±0.1","201,206","±434","7.1%","±0.1","279,529","±720","6.5%","±0.1","310,282","±450","6.9%","±0.1","69,386","±263","5.2%","±0.1","365,155","±269","6.4%","±0.1","367,252","±300","5.6%","±0.1","603,820","±412","6.1%","±0.1","353,120","±398","6.7%","±0.1","209,804","±616","7.1%","±0.1","386,915","±617","6.5%","±0.1","60,700","±319","6.2%","±0.1","129,958","±350","7.2%","±0.1","188,966","±272","7.1%","±0.1","70,938","±216","5.4%","±0.1","543,370","±243","6.2%","±0.1","143,988","±459","7.1%","±0.1","1,158,007","±506","6.0%","±0.1","626,759","±684","6.7%","±0.1","42,821","±217","6.4%","±0.1","720,783","±520","6.3%","±0.1","260,242","±429","7.0%","±0.1","235,479","±379","6.2%","±0.1","727,677","±399","5.7%","±0.1","57,976","±299","5.5%","±0.1","299,328","±365","6.5%","±0.1","57,549","±367","7.1%","±0.1","405,182","±733","6.4%","±0.1","1,923,740","±894","7.8%","±0.1","258,736","±281","9.5%","±0.1","32,004","±233","5.1%","±0.1","506,909","±736","6.4%","±0.1","433,191","±331","6.5%","±0.1","104,182","±417","5.6%","±0.1","355,412","±386","6.3%","±0.1","38,839","±263","7.0%","±0.1","229,358","*****","6.1%","*****"
"    5 to 9 years","20,207,046","±24,383","6.6%","±0.1","309,698","±3,010","6.5%","±0.1","49,409","±987","7.1%","±0.1","444,053","±4,142","7.0%","±0.1","196,223","±2,078","6.8%","±0.1","2,487,950","±7,475","6.7%","±0.1","343,819","±2,342","6.9%","±0.1","223,780","±2,641","6.3%","±0.1","56,450","±1,367","6.3%","±0.2","26,281","±854","4.4%","±0.1","1,076,647","±6,888","5.8%","±0.1","691,275","±4,667","7.2%","±0.1","80,235","±1,362","6.0%","±0.1","118,177","±1,484","7.6%","±0.1","860,232","±5,022","6.7%","±0.1","443,985","±3,155","6.9%","±0.1","199,227","±2,280","6.6%","±0.1","199,217","±2,084","7.0%","±0.1","281,823","±2,568","6.5%","±0.1","303,947","±3,000","6.8%","±0.1","74,509","±1,426","5.6%","±0.1","363,690","±3,362","6.3%","±0.1","387,940","±3,339","6.0%","±0.1","644,069","±3,425","6.5%","±0.1","348,782","±2,522","6.6%","±0.1","206,766","±2,162","7.0%","±0.1","386,557","±3,029","6.5%","±0.1","60,739","±1,105","6.2%","±0.1","125,509","±1,469","6.9%","±0.1","184,528","±2,596","6.9%","±0.1","78,504","±1,461","6.0%","±0.1","565,713","±3,678","6.5%","±0.1","140,479","±2,036","6.9%","±0.1","1,159,958","±5,505","6.0%","±0.1","626,474","±4,295","6.7%","±0.1","40,160","±859","6.0%","±0.1","753,860","±4,186","6.5%","±0.1","255,713","±2,365","6.9%","±0.1","238,140","±2,692","6.3%","±0.1","758,663","±3,793","6.0%","±0.1","61,199","±1,142","5.8%","±0.1","292,378","±3,377","6.4%","±0.1","53,527","±1,088","6.6%","±0.1","408,616","±3,404","6.5%","±0.1","1,888,441","±7,704","7.6%","±0.1","241,841","±1,928","8.9%","±0.1","34,693","±834","5.6%","±0.1","503,819","±3,515","6.4%","±0.1","424,151","±3,253","6.4%","±0.1","103,721","±1,428","5.6%","±0.1","365,209","±2,645","6.4%","±0.1","36,270","±874","6.5%","±0.2","241,872","±2,258","6.5%","±0.1"
"    10 to 14 years","20,631,572","±27,194","6.7%","±0.1","318,525","±3,038","6.7%","±0.1","51,467","±1,016","7.3%","±0.1","446,301","±4,050","7.0%","±0.1","195,740","±2,073","6.8%","±0.1","2,592,194","±7,549","7.0%","±0.1","325,169","±2,420","6.5%","±0.1","240,292","±2,615","6.8%","±0.1","56,330","±1,379","6.3%","±0.2","25,874","±833","4.4%","±0.1","1,126,827","±6,941","6.0%","±0.1","679,130","±4,595","7.1%","±0.1","82,458","±1,365","6.1%","±0.1","116,118","±1,531","7.5%","±0.1","879,233","±5,013","6.9%","±0.1","449,251","±3,272","7.0%","±0.1","200,614","±2,322","6.6%","±0.1","197,936","±2,024","7.0%","±0.1","284,161","±2,548","6.6%","±0.1","305,703","±3,059","6.8%","±0.1","80,611","±1,454","6.1%","±0.1","381,567","±3,327","6.7%","±0.1","404,920","±3,331","6.2%","±0.1","686,008","±3,341","6.9%","±0.1","355,702","±2,488","6.7%","±0.1","209,382","±2,178","7.1%","±0.1","398,625","±2,918","6.7%","±0.1","61,784","±1,147","6.3%","±0.1","123,210","±1,451","6.8%","±0.1","177,733","±2,550","6.6%","±0.1","85,606","±1,451","6.5%","±0.1","586,052","±3,721","6.7%","±0.1","141,890","±2,096","7.0%","±0.1","1,226,675","±5,403","6.4%","±0.1","627,278","±4,272","6.7%","±0.1","39,426","±850","5.9%","±0.1","775,658","±4,135","6.7%","±0.1","250,377","±2,352","6.7%","±0.1","239,654","±2,757","6.3%","±0.1","792,959","±3,965","6.3%","±0.1","64,834","±1,151","6.2%","±0.1","297,045","±3,287","6.5%","±0.1","55,107","±1,120","6.8%","±0.1","419,399","±3,434","6.7%","±0.1","1,842,336","±7,834","7.4%","±0.1","222,709","±1,945","8.2%","±0.1","38,111","±802","6.1%","±0.1","512,292","±3,718","6.5%","±0.1","436,465","±3,111","6.6%","±0.1","110,750","±1,464","6.0%","±0.1","378,237","±2,701","6.7%","±0.1","35,847","±906","6.5%","±0.2","280,442","±2,255","7.5%","±0.1"
"    15 to 19 years","22,083,463","±8,671","7.2%","±0.1","342,300","±1,028","7.2%","±0.1","53,532","±456","7.6%","±0.1","456,092","±762","7.2%","±0.1","204,445","±1,113","7.1%","±0.1","2,803,559","±1,167","7.6%","±0.1","340,524","±1,080","6.9%","±0.1","253,713","±517","7.1%","±0.1","63,994","±233","7.2%","±0.1","42,274","±1,098","7.1%","±0.2","1,228,375","±1,871","6.6%","±0.1","713,635","±2,692","7.4%","±0.1","85,776","±313","6.4%","±0.1","115,767","±690","7.5%","±0.1","927,161","±1,330","7.2%","±0.1","476,532","±1,076","7.4%","±0.1","220,378","±943","7.3%","±0.1","205,155","±1,193","7.2%","±0.1","298,209","±1,172","6.9%","±0.1","327,378","±923","7.3%","±0.1","89,908","±492","6.8%","±0.1","409,125","±983","7.1%","±0.1","469,473","±1,365","7.2%","±0.1","748,083","±984","7.5%","±0.1","372,303","±847","7.1%","±0.1","224,628","±1,198","7.6%","±0.1","427,986","±1,274","7.2%","±0.1","69,056","±707","7.0%","±0.1","131,078","±663","7.2%","±0.1","179,065","±557","6.7%","±0.1","95,473","±512","7.3%","±0.1","599,685","±425","6.9%","±0.1","149,927","±937","7.4%","±0.1","1,371,903","±1,272","7.1%","±0.1","657,853","±1,903","7.0%","±0.1","48,515","±453","7.3%","±0.1","828,229","±1,190","7.2%","±0.1","265,904","±955","7.2%","±0.1","255,366","±881","6.7%","±0.1","914,331","±1,306","7.2%","±0.1","80,411","±409","7.6%","±0.1","327,882","±876","7.2%","±0.1","58,606","±603","7.3%","±0.1","434,346","±1,217","6.9%","±0.1","1,867,910","±2,052","7.5%","±0.1","219,118","±640","8.1%","±0.1","46,803","±350","7.5%","±0.1","555,738","±1,986","7.0%","±0.1","460,989","±946","6.9%","±0.1","122,049","±807","6.6%","±0.1","404,541","±859","7.1%","±0.1","38,380","±518","6.9%","±0.1","286,684","±222","7.7%","±0.1"
"    20 to 24 years","21,463,191","±9,469","7.0%","±0.1","335,162","±1,230","7.1%","±0.1","55,110","±546","7.9%","±0.1","441,858","±708","7.0%","±0.1","198,503","±1,113","6.9%","±0.1","2,742,429","±1,192","7.4%","±0.1","349,118","±1,031","7.0%","±0.1","223,297","±555","6.3%","±0.1","62,145","±245","7.0%","±0.1","58,602","±1,102","9.9%","±0.2","1,228,535","±1,430","6.6%","±0.1","675,314","±2,353","7.0%","±0.1","95,250","±335","7.1%","±0.1","109,159","±682","7.0%","±0.1","878,738","±1,285","6.9%","±0.1","451,724","±1,009","7.0%","±0.1","213,327","±1,039","7.0%","±0.1","205,071","±1,257","7.2%","±0.1","290,935","±1,029","6.7%","±0.1","338,025","±1,127","7.5%","±0.1","79,985","±467","6.0%","±0.1","388,458","±1,074","6.8%","±0.1","463,351","±1,364","7.1%","±0.1","671,777","±1,017","6.8%","±0.1","357,808","±886","6.8%","±0.1","213,433","±1,251","7.2%","±0.1","411,991","±1,281","6.9%","±0.1","67,091","±697","6.8%","±0.1","130,117","±656","7.2%","±0.1","178,243","±491","6.7%","±0.1","83,970","±562","6.4%","±0.1","531,982","±544","6.1%","±0.1","144,111","±892","7.1%","±0.1","1,386,432","±1,382","7.2%","±0.1","651,236","±1,610","6.9%","±0.1","60,155","±537","9.0%","±0.1","758,505","±1,225","6.6%","±0.1","271,204","±1,011","7.3%","±0.1","254,188","±879","6.7%","±0.1","855,973","±1,364","6.8%","±0.1","80,952","±455","7.7%","±0.1","327,799","±935","7.2%","±0.1","57,818","±654","7.2%","±0.1","424,472","±1,208","6.7%","±0.1","1,807,856","±2,103","7.3%","±0.1","230,717","±621","8.5%","±0.1","44,141","±328","7.1%","±0.1","567,437","±2,001","7.2%","±0.1","461,413","±833","6.9%","±0.1","117,932","±837","6.4%","±0.1","389,814","±834","6.9%","±0.1","40,528","±527","7.3%","±0.1","266,173","±215","7.1%","±0.1"
"    25 to 34 years","40,668,821","±8,601","13.3%","±0.1","602,512","±1,273","12.7%","±0.1","98,377","±563","14.0%","±0.1","859,319","±866","13.6%","±0.1","372,510","±1,188","12.9%","±0.1","5,285,221","±1,181","14.3%","±0.1","715,257","±1,137","14.4%","±0.1","415,295","±509","11.7%","±0.1","111,026","±200","12.5%","±0.1","119,373","±121","20.1%","±0.1","2,275,039","±1,924","12.2%","±0.1","1,327,582","±2,430","13.8%","±0.1","183,589","±325","13.6%","±0.1","205,688","±783","13.3%","±0.1","1,765,418","±1,200","13.8%","±0.1","825,015","±1,121","12.8%","±0.1","376,395","±771","12.4%","±0.1","370,026","±1,045","13.1%","±0.1","561,627","±1,114","13.0%","±0.1","607,849","±1,233","13.6%","±0.1","143,974","±468","10.8%","±0.1","750,478","±857","13.1%","±0.1","836,990","±517","12.9%","±0.1","1,176,435","±994","11.9%","±0.1","705,809","±899","13.4%","±0.1","380,653","±1,509","12.9%","±0.1","766,497","±1,170","12.9%","±0.1","119,543","±606","12.2%","±0.1","239,470","±666","13.2%","±0.1","384,664","±690","14.4%","±0.1","144,004","±437","10.9%","±0.1","1,104,737","±567","12.6%","±0.1","261,443","±931","12.8%","±0.1","2,634,078","±1,152","13.6%","±0.1","1,232,717","±1,920","13.1%","±0.1","86,729","±548","13.0%","±0.1","1,417,906","±1,351","12.3%","±0.1","494,282","±1,060","13.3%","±0.1","517,603","±1,187","13.6%","±0.1","1,500,201","±1,080","11.8%","±0.1","127,749","±552","12.1%","±0.1","585,518","±1,124","12.8%","±0.1","102,216","±748","12.7%","±0.1","822,484","±1,182","13.1%","±0.1","3,556,632","±2,311","14.4%","±0.1","435,568","±543","16.0%","±0.1","68,786","±385","11.0%","±0.1","1,070,174","±1,960","13.5%","±0.1","919,104","±911","13.8%","±0.1","219,699","±744","11.9%","±0.1","710,886","±1,037","12.5%","±0.1","74,674","±477","13.5%","±0.1","496,635","*****","13.3%","*****"
"    35 to 44 years","41,683,228","±7,913","13.6%","±0.1","625,184","±1,259","13.2%","±0.1","94,875","±584","13.5%","±0.1","828,392","±640","13.1%","±0.1","371,885","±999","12.8%","±0.1","5,237,049","±1,155","14.2%","±0.1","703,322","±997","14.2%","±0.1","498,244","±465","14.0%","±0.1","118,231","±180","13.3%","±0.1","81,505","±108","13.7%","±0.1","2,474,758","±1,911","13.2%","±0.1","1,413,864","±2,138","14.7%","±0.1","177,030","±237","13.1%","±0.1","192,604","±671","12.4%","±0.1","1,752,914","±1,047","13.7%","±0.1","855,170","±1,077","13.2%","±0.1","371,800","±804","12.3%","±0.1","353,021","±907","12.5%","±0.1","586,492","±1,030","13.6%","±0.1","573,336","±1,022","12.8%","±0.1","177,086","±383","13.3%","±0.1","815,448","±769","14.2%","±0.1","909,374","±497","14.0%","±0.1","1,316,725","±876","13.3%","±0.1","697,863","±802","13.2%","±0.1","381,287","±1,293","12.9%","±0.1","764,221","±1,100","12.8%","±0.1","114,995","±545","11.7%","±0.1","224,347","±529","12.4%","±0.1","385,095","±573","14.4%","±0.1","185,779","±456","14.1%","±0.1","1,266,069","±584","14.5%","±0.1","251,101","±724","12.3%","±0.1","2,669,148","±1,146","13.8%","±0.1","1,334,148","±1,684","14.2%","±0.1","76,461","±399","11.5%","±0.1","1,513,258","±950","13.1%","±0.1","465,218","±953","12.5%","±0.1","501,819","±897","13.2%","±0.1","1,653,613","±916","13.1%","±0.1","141,910","±455","13.5%","±0.1","608,889","±1,007","13.3%","±0.1","95,030","±661","11.8%","±0.1","865,265","±1,222","13.7%","±0.1","3,455,160","±2,273","13.9%","±0.1","327,417","±700","12.1%","±0.1","81,005","±350","13.0%","±0.1","1,127,401","±1,820","14.2%","±0.1","916,883","±909","13.8%","±0.1","239,919","±690","13.0%","±0.1","744,846","±815","13.1%","±0.1","66,772","±445","12.0%","±0.1","488,539","*****","13.1%","*****"
"    45 to 54 years","44,579,668","±8,102","14.5%","±0.1","688,821","±866","14.5%","±0.1","110,271","±456","15.7%","±0.1","830,751","±521","13.1%","±0.1","401,962","±878","13.9%","±0.1","5,195,923","±1,135","14.1%","±0.1","736,137","±817","14.8%","±0.1","568,426","±392","16.0%","±0.1","131,667","±165","14.8%","±0.1","75,353","±137","12.7%","±0.1","2,702,167","±1,512","14.5%","±0.1","1,366,403","±1,662","14.2%","±0.1","192,920","±158","14.3%","±0.1","207,482","±672","13.4%","±0.1","1,859,499","±872","14.5%","±0.1","940,479","±1,003","14.6%","±0.1","438,642","±779","14.5%","±0.1","405,529","±683","14.3%","±0.1","636,768","±835","14.8%","±0.1","649,451","±974","14.5%","±0.1","218,426","±385","16.4%","±0.1","889,888","±538","15.5%","±0.1","999,722","±396","15.4%","±0.1","1,511,422","±779","15.2%","±0.1","803,904","±905","15.2%","±0.1","414,756","±846","14.0%","±0.1","880,927","±1,074","14.8%","±0.1","150,546","±500","15.3%","±0.1","258,175","±409","14.2%","±0.1","371,112","±523","13.9%","±0.1","223,299","±336","17.0%","±0.1","1,361,205","±477","15.6%","±0.1","288,723","±642","14.2%","±0.1","2,852,308","±873","14.8%","±0.1","1,348,663","±1,519","14.3%","±0.1","96,564","±396","14.5%","±0.1","1,738,279","±962","15.1%","±0.1","521,479","±823","14.0%","±0.1","542,402","±780","14.3%","±0.1","1,932,551","±798","15.3%","±0.1","160,722","±369","15.2%","±0.1","651,382","±849","14.2%","±0.1","117,196","±469","14.5%","±0.1","915,052","±1,204","14.5%","±0.1","3,377,061","±1,655","13.6%","±0.1","303,769","±526","11.2%","±0.1","102,450","±353","16.4%","±0.1","1,195,547","±1,510","15.1%","±0.1","983,463","±813","14.8%","±0.1","276,366","±506","15.0%","±0.1","869,661","±765","15.4%","±0.1","83,997","±448","15.1%","±0.1","484,690","*****","13.0%","*****"
